# Time-averaged data for fix at4
# TimeStep Number-of-rows
# Row c_ea
25 1
1 9.24055
30 1
1 9.21764
35 1
1 9.18464
40 1
1 9.138
45 1
1 9.0714
50 1
1 8.97833
55 1
1 8.85417
60 1
1 8.69813
65 1
1 8.51006
70 1
1 8.29294
75 1
1 8.04903
80 1
1 7.78259
85 1
1 7.49414
90 1
1 7.17997
95 1
1 6.84769
100 1
1 6.49976
105 1
1 6.13676
110 1
1 5.76164
115 1
1 5.37711
120 1
1 4.98822
125 1
1 4.59685
130 1
1 4.20712
135 1
1 3.82231
140 1
1 3.4451
145 1
1 3.07845
150 1
1 2.72477
155 1
1 2.38711
160 1
1 2.06711
165 1
1 1.76724
170 1
1 1.49053
175 1
1 1.2397
180 1
1 1.01724
185 1
1 0.825443
190 1
1 0.665169
195 1
1 0.537746
200 1
1 0.44357
205 1
1 0.383199
210 1
1 0.35746
215 1
1 0.365561
220 1
1 0.407694
225 1
1 0.483374
230 1
1 0.591843
235 1
1 0.73231
240 1
1 0.903907
245 1
1 1.10535
250 1
1 1.33427
255 1
1 1.58731
260 1
1 1.86277
265 1
1 2.15984
270 1
1 2.47595
275 1
1 2.80791
280 1
1 3.15007
285 1
1 3.50201
290 1
1 3.86042
295 1
1 4.22089
300 1
1 4.58111
305 1
1 4.93973
310 1
1 5.29326
315 1
1 5.63698
320 1
1 5.96716
325 1
1 6.2836
330 1
1 6.58526
335 1
1 6.86934
340 1
1 7.13115
345 1
1 7.36883
350 1
1 7.58016
355 1
1 7.76454
360 1
1 7.92185
365 1
1 8.05301
370 1
1 8.15626
375 1
1 8.227
380 1
1 8.26248
385 1
1 8.26729
390 1
1 8.24488
395 1
1 8.19456
400 1
1 8.11341
405 1
1 8.00049
410 1
1 7.85761
415 1
1 7.6858
420 1
1 7.49169
425 1
1 7.27564
430 1
1 7.03773
435 1
1 6.7808
440 1
1 6.50714
445 1
1 6.21831
450 1
1 5.91697
455 1
1 5.60671
460 1
1 5.29174
465 1
1 4.97471
470 1
1 4.6561
475 1
1 4.34042
480 1
