# Time-averaged data for fix at4
# TimeStep Number-of-rows
# Row c_ea
30 1
1 5.58439
35 1
1 6.03784
40 1
1 6.60311
45 1
1 7.26141
50 1
1 8.0078
55 1
1 8.83651
60 1
1 9.73942
65 1
1 10.7105
70 1
1 11.7431
75 1
1 12.8282
80 1
1 13.9621
85 1
1 15.1351
90 1
1 16.3382
95 1
1 17.5662
100 1
1 18.8128
105 1
1 20.0685
110 1
1 21.3259
115 1
1 22.5795
120 1
1 23.8251
125 1
1 25.0562
130 1
1 26.2648
135 1
1 27.4477
140 1
1 28.5982
145 1
1 29.7175
150 1
1 30.8119
155 1
1 31.8695
160 1
1 32.8909
165 1
1 33.8714
170 1
1 34.8079
175 1
1 35.6983
180 1
1 36.5398
185 1
1 37.3329
190 1
1 38.0813
195 1
1 38.7848
200 1
1 39.4416
205 1
1 40.0459
210 1
1 40.5959
215 1
1 41.0911
220 1
1 41.5291
225 1
1 41.9068
230 1
1 42.2225
235 1
1 42.4816
240 1
1 42.6879
245 1
1 42.8419
250 1
1 42.9433
255 1
1 42.9898
260 1
1 42.9872
265 1
1 42.9414
270 1
1 42.8543
275 1
1 42.7427
280 1
1 42.6117
285 1
1 42.4461
290 1
1 42.2462
295 1
1 42.0139
300 1
1 41.7544
305 1
1 41.4746
310 1
1 41.1684
315 1
1 40.8352
320 1
1 40.472
325 1
1 40.0835
330 1
1 39.6707
335 1
1 39.2397
340 1
1 38.7983
345 1
1 38.3427
350 1
1 37.8702
355 1
1 37.3753
360 1
1 36.8628
365 1
1 36.3362
370 1
1 35.7957
375 1
1 35.2403
380 1
1 34.6705
385 1
1 34.0936
390 1
1 33.5124
395 1
1 32.92
400 1
1 32.3139
405 1
1 31.6954
410 1
1 31.0698
415 1
1 30.4378
420 1
1 29.8013
425 1
1 29.1597
430 1
1 28.5163
435 1
1 27.8735
440 1
1 27.2321
445 1
1 26.5937
450 1
1 25.962
455 1
1 25.3378
460 1
1 24.725
465 1
1 24.1284
470 1
1 23.5448
475 1
1 22.9768
480 1
1 22.4271
485 1
1 21.8952
490 1
1 21.3824
495 1
1 20.898
500 1
1 20.464
505 1
1 20.0952
510 1
1 19.7681
515 1
1 19.4917
520 1
1 19.2949
525 1
1 19.1515
530 1
1 19.0436
535 1
1 18.9725
540 1
1 18.9382
545 1
1 18.9398
550 1
1 18.9758
555 1
1 19.0444
560 1
1 19.1454
565 1
1 19.2791
570 1
1 19.4468
575 1
1 19.6475
580 1
1 19.8797
585 1
1 20.1466
590 1
1 20.4524
595 1
1 20.8019
600 1
1 21.1892
605 1
1 21.6132
610 1
1 22.0743
615 1
1 22.5839
620 1
1 23.1705
625 1
1 23.7924
630 1
1 24.425
635 1
1 25.0628
640 1
1 25.7042
645 1
1 26.3456
650 1
