# Time-averaged data for fix at3
# TimeStep c_ek
30 31.2118
35 47.5726
40 47.038
45 46.5351
50 45.8953
55 45.0608
60 44.1306
65 43.1843
70 41.9626
75 40.769
80 39.5323
85 38.2073
90 36.7295
95 35.4701
100 34.2427
105 32.9187
110 31.5831
115 30.1882
120 28.9474
125 27.6074
130 26.3919
135 25.1366
140 23.8793
145 22.7843
150 21.5645
155 20.3809
160 19.3056
165 18.3193
170 17.2917
175 16.1824
180 15.1929
185 14.3308
190 13.4467
195 12.5194
200 11.7561
205 11.1272
210 10.612
215 10.1029
220 9.58121
225 9.12862
230 8.7516
235 8.47966
240 8.16916
245 7.94851
250 7.79282
255 7.62843
260 7.66951
265 7.72209
270 7.774
275 7.78122
280 7.87313
285 7.95358
290 8.11683
295 8.27572
300 8.46915
305 8.66868
310 8.87232
315 9.21443
320 9.57136
325 9.94582
330 10.3941
335 10.8956
340 11.4335
345 11.8575
350 12.4287
355 13.0846
360 13.7607
365 14.4723
370 15.1551
375 15.7934
380 16.4031
385 17.0699
390 17.7558
395 18.6755
400 19.4251
405 20.1695
410 20.8681
415 21.5549
420 22.0999
425 22.7076
430 23.466
435 24.2295
440 25.0147
445 25.7534
450 26.4528
455 27.144
460 27.8607
465 28.3956
470 29.0869
475 29.7505
480 30.3724
485 30.8085
490 31.2982
495 31.8237
500 32.2745
505 32.7472
510 33.1639
515 33.3741
520 33.5095
525 33.5903
530 33.7613
535 33.9759
540 34.1217
545 34.1729
550 34.172
555 34.1871
560 34.0399
565 33.6795
570 33.4457
575 33.1348
580 32.9454
585 32.6686
590 32.4015
595 31.862
600 31.4576
605 30.9452
610 30.3046
615 29.5837
620 28.8857
625 28.1737
630 27.4377
635 26.6348
640 25.8732
645 25.1885
650 24.3753
655 23.6646
660 22.9764
665 22.1796
670 21.412
675 20.8854
680 20.0881
685 19.3717
690 18.721
695 18.1138
700 17.5258
705 16.891
710 16.4078
715 15.9729
720 15.5605
725 15.3528
730 14.9629
735 14.6509
740 14.4336
745 14.2323
750 14.1441
755 13.9707
760 13.8145
765 13.7776
770 13.7507
775 13.8249
780 13.9796
785 14.0156
790 14.0868
795 14.1371
800 14.2766
805 14.4158
810 14.6479
815 14.9303
820 15.2008
825 15.672
830 15.9704
835 16.1929
840 16.4863
845 16.8412
850 17.143
855 17.374
860 17.6612
865 17.9669
870 18.212
875 18.4817
880 18.7889
885 19.1816
890 19.4741
895 19.6839
900 19.8803
905 20.2693
910 20.5178
915 20.8362
920 21.1564
925 21.438
930 21.7685
935 22.1224
940 22.3517
945 22.6931
950 23.0202
955 23.3945
960 23.8166
965 24.18
970 24.4514
975 24.7396
980 24.9582
985 25.1043
990 25.1043
995 25.1234
1000 25.2043
1005 25.2733
1010 25.1534
1015 25.0993
1020 25.0231
1025 24.8177
1030 24.8191
1035 24.6811
1040 24.4557
1045 24.2776
1050 24.1576
1055 24.0779
1060 24.0751
1065 24.0393
1070 23.9923
1075 23.8913
1080 23.6175
1085 23.3704
1090 23.2394
1095 23.0323
1100 22.8368
1105 22.7614
1110 22.6148
1115 22.6283
1120 22.5777
1125 22.5287
1130 22.4385
1135 22.3529
1140 22.3804
1145 22.3347
1150 22.4734
1155 22.4879
1160 22.4687
1165 22.47
1170 22.5536
1175 22.4377
1180 22.4713
1185 22.4544
1190 22.4862
1195 22.425
1200 22.4854
1205 22.5588
1210 22.5571
1215 22.5572
1220 22.6286
1225 22.6961
1230 22.7911
1235 22.8003
1240 22.8112
1245 22.77
1250 22.7228
1255 22.8043
1260 22.8061
1265 22.8075
1270 22.885
1275 23.0029
1280 23.1096
1285 23.2608
1290 23.3752
1295 23.4521
1300 23.4841
1305 23.5665
1310 23.6349
1315 23.7152
1320 23.6704
1325 23.6427
1330 23.6013
1335 23.3775
1340 23.387
1345 23.4377
1350 23.5347
1355 23.7033
1360 23.7765
1365 23.9124
1370 24.0101
1375 24.1306
1380 24.0143
1385 23.9037
1390 23.8758
1395 23.8342
1400 23.8319
1405 23.6806
1410 23.6341
1415 23.7553
1420 23.7474
1425 23.751
1430 23.9079
1435 24.1606
1440 24.3346
1445 24.4803
1450 24.5591
1455 24.7776
1460 24.9126
1465 25.1206
1470 25.2992
1475 25.4955
1480 25.726
1485 25.8233
1490 26.0268
1495 26.3619
1500 26.7229
1505 27.2081
1510 27.5619
1515 27.8524
1520 28.0998
1525 28.2924
1530 28.3642
1535 28.6247
1540 28.8592
1545 29.0618
1550 29.2847
1555 29.4214
1560 29.5863
1565 29.7045
1570 29.9338
1575 30.1617
1580 30.2678
1585 30.3196
1590 30.4408
1595 30.6095
1600 30.5422
1605 30.5797
1610 30.4093
1615 30.1586
1620 29.972
1625 29.8773
1630 29.7774
1635 29.5893
1640 29.3013
1645 29.0235
1650 28.8987
1655 28.7827
1660 28.481
1665 28.2115
1670 28.0038
1675 27.776
1680 27.3956
1685 26.9225
1690 26.6473
1695 26.3183
1700 25.973
1705 25.6176
1710 25.2765
1715 25.0212
1720 24.7641
1725 24.4976
1730 24.1178
1735 23.8781
1740 23.5894
1745 23.3458
1750 23.0449
1755 22.7197
1760 22.3072
1765 22.0683
1770 21.789
1775 21.5272
1780 21.346
1785 21.2693
1790 21.0412
1795 20.8299
1800 20.7466
1805 20.6812
1810 20.6374
1815 20.5113
1820 20.3954
1825 20.4349
1830 20.418
1835 20.3967
1840 20.5078
1845 20.601
1850 20.5682
1855 20.5309
1860 20.6738
1865 20.7268
1870 20.7555
1875 20.9072
1880 21.066
1885 21.0845
1890 21.2909
1895 21.4847
1900 21.6543
1905 21.7842
1910 21.8803
1915 22.0138
1920 22.1924
1925 22.4253
1930 22.6356
1935 22.7595
1940 22.8351
1945 23.0111
1950 23.1561
1955 23.4201
1960 23.6314
