# Time-averaged data for fix at5
# TimeStep Number-of-rows
# Row c_tm
30 3
1 0.00176671
2 0.0664617
3 0.0764616
35 3
1 0.0165788
2 0.0731056
3 0.171303
40 3
1 0.132257
2 0.0857582
3 0.180684
45 3
1 0.00237672
2 0.00644193
3 0.115173
50 3
1 -0.105653
2 -0.0169493
3 0.148374
55 3
1 -0.088263
2 0.0203021
3 0.293101
60 3
1 -0.297611
2 0.113084
3 0.280088
65 3
1 -0.333398
2 0.170786
3 0.276643
70 3
1 -0.352963
2 0.137309
3 0.239171
75 3
1 -0.31192
2 0.373038
3 0.366506
80 3
1 -0.281546
2 0.484389
3 0.347218
85 3
1 -0.371815
2 0.453689
3 0.41823
90 3
1 -0.555518
2 0.32619
3 0.619541
95 3
1 -0.567815
2 0.390877
3 0.616131
100 3
1 -0.547433
2 0.344906
3 0.501408
105 3
1 -0.604586
2 0.453996
3 0.441366
110 3
1 -0.65656
2 0.537982
3 0.405636
115 3
1 -0.737315
2 0.542018
3 0.391034
120 3
1 -0.734176
2 0.690302
3 0.392848
125 3
1 -0.910948
2 0.560397
3 0.320168
130 3
1 -0.952882
2 0.415008
3 0.223269
135 3
1 -0.919364
2 0.34905
3 0.354075
140 3
1 -0.927095
2 0.300382
3 0.270506
145 3
1 -1.09309
2 0.406369
3 0.34606
150 3
1 -1.11405
2 0.313677
3 0.490405
155 3
1 -1.00861
2 0.275281
3 0.506876
160 3
1 -1.02609
2 0.156817
3 0.630129
165 3
1 -1.1673
2 0.0209602
3 0.71477
170 3
1 -1.21502
2 -0.00609748
3 0.730365
175 3
1 -1.47165
2 0.109071
3 0.702532
180 3
1 -1.70867
2 0.202327
3 0.704059
185 3
1 -1.79188
2 0.0897232
3 0.723098
190 3
1 -1.85554
2 0.0467186
3 0.684158
195 3
1 -1.92749
2 0.128082
3 0.550651
200 3
1 -2.15432
2 0.064667
3 0.537432
205 3
1 -2.26633
2 0.201354
3 0.543273
210 3
1 -2.17195
2 0.219882
3 0.515917
215 3
1 -2.20975
2 0.16526
3 0.648633
220 3
1 -2.3186
2 0.0215333
3 0.735856
225 3
1 -2.15152
2 0.0350168
3 0.686307
230 3
1 -2.32189
2 0.0582263
3 0.691902
235 3
1 -2.4074
2 0.0459578
3 0.503944
240 3
1 -2.1636
2 0.0597782
3 0.522424
245 3
1 -1.96112
2 0.106559
3 0.486271
250 3
1 -1.79337
2 0.0700103
3 0.437521
255 3
1 -1.79842
2 0.0663283
3 0.284748
260 3
1 -1.7215
2 0.0314337
3 0.251446
265 3
1 -1.78107
2 0.0624908
3 0.164751
270 3
1 -1.6698
2 -0.00259529
3 0.253902
275 3
1 -1.58452
2 -0.0216228
3 0.10376
280 3
1 -1.47951
2 -0.0667865
3 0.176158
285 3
1 -1.364
2 -0.0883136
3 0.166413
290 3
1 -1.42769
2 -0.0408416
3 0.195137
295 3
1 -1.47076
2 -0.104291
3 0.147516
300 3
1 -1.50506
2 -0.0816129
3 0.257734
305 3
1 -1.34888
2 -0.0685113
3 0.389753
310 3
1 -1.15635
2 -0.0487849
3 0.204169
315 3
1 -1.14915
2 0.0865036
3 0.280887
320 3
1 -1.21892
2 -0.123441
3 0.367103
325 3
1 -1.16931
2 -0.0514805
3 0.358422
330 3
1 -1.20239
2 -0.0851186
3 0.355964
335 3
1 -1.34325
2 -0.139804
3 0.386675
340 3
1 -1.37272
2 -0.0634174
3 0.264579
345 3
1 -1.33728
2 0.0745081
3 0.168679
350 3
1 -1.40706
2 0.0881839
3 0.106732
355 3
1 -1.46659
2 0.0420884
3 -0.0102139
360 3
1 -1.37144
2 -0.165742
3 -0.106883
365 3
1 -1.31624
2 -0.180744
3 -0.0466737
370 3
1 -1.34325
2 -0.195433
3 -0.0569633
375 3
1 -1.32268
2 -0.180648
3 0.0314071
380 3
1 -1.32836
2 -0.150697
3 -0.0921189
385 3
1 -1.33083
2 -0.179346
3 -0.258046
390 3
1 -1.45709
2 -0.368677
3 -0.488579
395 3
1 -1.50889
2 -0.361164
3 -0.67963
400 3
1 -1.44734
2 -0.218197
3 -0.689661
405 3
1 -1.249
2 -0.199858
3 -0.702276
410 3
1 -1.20851
2 -0.319264
3 -0.74573
415 3
1 -1.07535
2 -0.204351
3 -0.753227
420 3
1 -1.26417
2 0.0124693
3 -0.847225
425 3
1 -1.42238
2 -0.0914956
3 -0.933716
430 3
1 -1.4637
2 -0.283393
3 -0.845054
435 3
1 -1.59688
2 -0.401453
3 -0.840754
440 3
1 -1.56788
2 -0.595584
3 -0.706475
445 3
1 -1.54452
2 -0.794771
3 -0.714519
450 3
1 -1.4795
2 -0.71106
3 -0.638307
455 3
1 -1.37557
2 -0.724875
3 -0.627879
460 3
1 -1.33426
2 -0.938238
3 -0.564038
465 3
1 -1.30076
2 -0.784411
3 -0.574466
470 3
1 -1.13067
2 -0.784462
3 -0.415674
475 3
1 -1.12868
2 -0.788382
3 -0.419364
480 3
1 -1.07158
2 -0.754985
3 -0.36222
485 3
1 -1.01434
2 -0.645677
3 -0.427613
490 3
1 -1.13382
2 -0.592614
3 -0.2955
495 3
1 -1.07289
2 -0.494955
3 -0.187333
500 3
1 -1.00764
2 -0.551154
3 -0.271405
505 3
1 -1.01539
2 -0.418965
3 -0.249387
510 3
1 -1.01263
2 -0.448906
3 -0.242364
515 3
1 -0.844651
2 -0.452505
3 -0.170051
520 3
1 -0.824534
2 -0.484715
3 -0.0917482
525 3
1 -0.682001
2 -0.549192
3 -0.103332
530 3
1 -0.531168
2 -0.582625
3 -0.132935
535 3
1 -0.490261
2 -0.565416
3 -0.473779
540 3
1 -0.505093
2 -0.483587
3 -0.60111
545 3
1 -0.630801
2 -0.346423
3 -0.579862
550 3
1 -0.574953
2 -0.196925
3 -0.40985
555 3
1 -0.544993
2 -0.0740093
3 -0.27792
560 3
1 -0.470881
2 -0.029261
3 0.0217458
565 3
1 -0.448831
2 -0.101308
3 0.00870184
570 3
1 -0.35986
2 -0.205189
3 -0.230821
575 3
1 -0.3213
2 -0.357348
3 -0.0868351
580 3
1 -0.256818
2 -0.533011
3 0.113702
585 3
1 -0.360238
2 -0.355843
3 0.574188
590 3
1 -0.324476
2 -0.48284
3 0.467633
595 3
1 -0.445766
2 -0.552649
3 0.445255
600 3
