# Time-averaged data for fix at2
# TimeStep c_ep
25 240.686
30 240.654
35 240.608
40 240.544
45 240.456
50 240.34
55 240.191
60 240.011
65 239.8
70 239.563
75 239.305
80 239.029
85 238.737
90 238.427
95 238.106
100 237.777
105 237.44
110 237.095
115 236.747
120 236.397
125 236.045
130 235.692
135 235.341
140 234.993
145 234.651
150 234.315
155 233.989
160 233.674
165 233.373
170 233.09
175 232.829
180 232.592
185 232.385
190 232.207
195 232.063
200 231.956
205 231.888
210 231.861
215 231.872
220 231.924
225 232.016
230 232.147
235 232.315
240 232.519
245 232.755
250 233.02
255 233.31
260 233.62
265 233.949
270 234.295
275 234.654
280 235.021
285 235.393
290 235.767
295 236.14
300 236.51
305 236.877
310 237.24
315 237.591
320 237.929
325 238.253
330 238.562
335 238.852
340 239.118
345 239.36
350 239.575
355 239.762
360 239.92
365 240.049
370 240.146
375 240.207
380 240.231
385 240.221
390 240.181
395 240.11
400 240.007
405 239.871
410 239.704
415 239.508
420 239.29
425 239.052
430 238.796
435 238.523
440 238.236
445 237.937
450 237.63
455 237.319
460 237.005
465 236.692
470 236.377
475 236.067
480 235.763
485 235.464
490 235.17
495 234.883
500 234.608
505 234.343
510 234.091
515 233.853
520 233.634
525 233.433
530 233.255
535 233.1
540 232.971
545 232.871
550 232.799
555 232.758
560 232.746
565 232.764
570 232.813
575 232.889
580 232.985
585 233.093
590 233.209
595 233.331
600 233.462
605 233.6
610 233.742
615 233.88
620 233.993
625 234.089
630 234.173
635 234.251
640 234.321
645 234.386
650 234.434
655 234.455
660 234.464
665 234.46
670 234.446
675 234.422
680 234.392
685 234.352
690 234.307
695 234.263
700 234.223
705 234.187
710 234.155
715 234.129
720 234.11
725 234.101
730 234.105
735 234.124
740 234.16
745 234.212
750 234.285
755 234.375
760 234.482
765 234.605
770 234.744
775 234.895
780 235.059
785 235.233
790 235.419
795 235.615
800 235.818
805 236.025
810 236.238
815 236.456
820 236.679
825 236.905
830 237.134
835 237.366
840 237.597
845 237.824
850 238.048
855 238.269
860 238.483
865 238.692
870 238.892
875 239.082
880 239.26
885 239.424
890 239.575
895 239.713
900 239.839
905 239.946
910 240.038
915 240.118
920 240.183
925 240.232
930 240.266
935 240.285
940 240.29
945 240.278
950 240.249
955 240.2
960 240.128
965 240.039
970 239.931
975 239.804
980 239.661
985 239.503
990 239.331
995 239.148
1000 238.956
1005 238.758
1010 238.553
1015 238.341
1020 238.126
1025 237.907
1030 237.688
1035 237.476
1040 237.269
1045 237.07
1050 236.88
1055 236.705
1060 236.546
1065 236.404
1070 236.28
1075 236.171
1080 236.077
1085 235.993
1090 235.915
1095 235.833
1100 235.751
1105 235.671
1110 235.596
1115 235.524
1120 235.454
1125 235.386
1130 235.32
1135 235.255
1140 235.189
1145 235.124
1150 235.065
1155 235.011
1160 234.956
1165 234.901
1170 234.853
1175 234.817
1180 234.797
1185 234.792
1190 234.801
1195 234.822
1200 234.849
1205 234.884
1210 234.927
1215 234.974
1220 235.024
1225 235.076
1230 235.125
1235 235.17
1240 235.207
1245 235.239
1250 235.27
1255 235.299
1260 235.326
1265 235.354
1270 235.389
1275 235.431
1280 235.479
1285 235.533
1290 235.593
1295 235.658
