# Time-averaged data for fix at2
# TimeStep c_ep
30 213.617
35 214.085
40 214.652
45 215.319
50 216.085
55 216.947
60 217.891
65 218.911
70 219.999
75 221.146
80 222.348
85 223.596
90 224.882
95 226.2
100 227.541
105 228.894
110 230.252
115 231.609
120 232.963
125 234.304
130 235.624
135 236.918
140 238.18
145 239.409
150 240.617
155 241.786
160 242.917
165 244.007
170 245.054
175 246.053
180 247.003
185 247.905
190 248.758
195 249.565
200 250.323
205 251.026
210 251.671
215 252.258
220 252.785
225 253.246
230 253.641
235 253.977
240 254.262
245 254.495
250 254.678
255 254.808
260 254.89
265 254.932
270 254.937
275 254.919
280 254.883
285 254.816
290 254.715
295 254.58
300 254.412
305 254.217
310 253.978
315 253.7
320 253.381
325 253.019
330 252.617
335 252.175
340 251.699
345 251.192
350 250.65
355 250.068
360 249.453
365 248.816
370 248.16
375 247.486
380 246.799
385 246.11
390 245.425
395 244.737
400 244.042
405 243.346
410 242.658
415 241.977
420 241.298
425 240.615
430 239.929
435 239.248
440 238.571
445 237.9
450 237.236
455 236.582
460 235.943
465 235.326
470 234.722
475 234.135
480 233.568
485 233.023
490 232.501
495 232.008
500 231.568
505 231.197
510 230.87
515 230.598
520 230.409
525 230.278
530 230.185
535 230.135
540 230.126
545 230.159
550 230.23
555 230.336
560 230.479
565 230.659
570 230.875
575 231.127
580 231.411
585 231.73
590 232.091
595 232.498
600 232.946
605 233.434
610 233.963
615 234.546
620 235.212
625 235.914
630 236.63
635 237.356
640 238.093
645 238.837
650 239.588
655 240.348
660 241.108
665 241.861
670 242.601
675 243.328
680 244.04
685 244.73
690 245.394
695 246.028
700 246.629
705 247.191
710 247.711
715 248.188
720 248.621
725 249.012
730 249.359
735 249.662
740 249.924
745 250.148
750 250.332
755 250.475
760 250.58
765 250.649
770 250.687
775 250.695
780 250.674
785 250.631
790 250.567
795 250.489
800 250.39
805 250.266
810 250.119
815 249.952
820 249.76
825 249.541
830 249.301
835 249.043
840 248.768
845 248.478
850 248.179
855 247.869
860 247.547
865 247.267
870 246.994
875 246.709
880 246.415
885 246.115
890 245.809
895 245.499
900 245.187
905 244.873
910 244.563
915 244.253
920 243.946
925 243.643
930 243.341
935 243.042
940 242.753
945 242.47
950 242.198
955 241.942
960 241.698
965 241.479
970 241.336
975 241.216
980 241.113
985 241.037
990 241.007
995 241.024
1000 241.068
