# Time-averaged data for fix at1
# TimeStep c_t
30 0.233796
35 0.356349
40 0.352344
45 0.348578
50 0.343785
55 0.337534
60 0.330567
65 0.323478
70 0.314327
75 0.305386
80 0.296122
85 0.286197
90 0.275127
95 0.265693
100 0.256499
105 0.246582
110 0.236578
115 0.226129
120 0.216835
125 0.206797
130 0.197692
135 0.188289
140 0.178871
145 0.170669
150 0.161532
155 0.152666
160 0.144611
165 0.137223
170 0.129526
175 0.121217
180 0.113805
185 0.107347
190 0.100725
195 0.0937784
200 0.0880609
205 0.08335
210 0.0794906
215 0.0756768
220 0.0717693
225 0.0683792
230 0.065555
235 0.063518
240 0.0611922
245 0.0595394
250 0.0583732
255 0.0571418
260 0.0574495
265 0.0578433
270 0.0582322
275 0.0582863
280 0.0589748
285 0.0595774
290 0.0608002
295 0.0619904
300 0.0634393
305 0.0649339
310 0.0664594
315 0.0690219
320 0.0716956
325 0.0745005
330 0.0778584
335 0.0816147
340 0.0856439
345 0.0888202
350 0.0930991
355 0.098012
360 0.103077
365 0.108407
370 0.113521
375 0.118302
380 0.122869
385 0.127865
390 0.133002
395 0.139891
400 0.145506
405 0.151082
410 0.156315
415 0.16146
420 0.165542
425 0.170094
430 0.175776
435 0.181494
440 0.187376
445 0.19291
450 0.198149
455 0.203326
460 0.208694
465 0.212701
470 0.21788
475 0.22285
480 0.227508
485 0.230776
490 0.234444
495 0.23838
500 0.241757
505 0.245297
510 0.248419
515 0.249993
520 0.251007
525 0.251613
530 0.252894
535 0.254501
540 0.255593
545 0.255977
550 0.25597
555 0.256083
560 0.254981
565 0.252281
570 0.25053
575 0.248201
580 0.246782
585 0.244709
590 0.242708
595 0.238667
600 0.235638
605 0.231799
610 0.227001
615 0.221601
620 0.216372
625 0.211039
630 0.205526
635 0.199511
640 0.193807
645 0.188678
650 0.182587
655 0.177263
660 0.172108
665 0.166139
670 0.160389
675 0.156445
680 0.150473
685 0.145106
690 0.140232
695 0.135684
700 0.13128
705 0.126525
710 0.122905
715 0.119647
720 0.116558
725 0.115002
730 0.112082
735 0.109745
740 0.108117
745 0.106609
750 0.105949
755 0.104649
760 0.103479
765 0.103203
770 0.103002
775 0.103557
780 0.104716
785 0.104986
790 0.105519
795 0.105896
800 0.106941
805 0.107983
810 0.109722
815 0.111838
820 0.113864
825 0.117393
830 0.119628
835 0.121295
840 0.123493
845 0.126151
850 0.128412
855 0.130143
860 0.132293
865 0.134584
870 0.13642
875 0.13844
880 0.140741
885 0.143683
890 0.145873
895 0.147445
900 0.148916
905 0.15183
910 0.153691
915 0.156076
920 0.158475
925 0.160585
930 0.16306
935 0.165711
940 0.167429
945 0.169986
950 0.172436
955 0.17524
960 0.178402
965 0.181124
970 0.183156
975 0.185315
980 0.186952
985 0.188047
990 0.188047
995 0.18819
1000 0.188796
1005 0.189313
1010 0.188415
1015 0.18801
1020 0.187439
1025 0.185901
1030 0.185911
1035 0.184877
1040 0.183189
1045 0.181854
1050 0.180956
1055 0.180359
1060 0.180338
1065 0.18007
1070 0.179718
1075 0.178961
1080 0.17691
1085 0.175059
1090 0.174078
1095 0.172527
1100 0.171062
1105 0.170497
1110 0.1694
1115 0.169501
1120 0.169121
1125 0.168755
1130 0.168079
1135 0.167437
1140 0.167643
1145 0.167301
1150 0.16834
1155 0.168449
1160 0.168305
1165 0.168314
1170 0.168941
1175 0.168073
1180 0.168324
1185 0.168198
1190 0.168436
1195 0.167978
1200 0.16843
1205 0.16898
1210 0.168967
1215 0.168968
1220 0.169503
1225 0.170008
1230 0.17072
1235 0.170789
1240 0.17087
1245 0.170562
1250 0.170208
1255 0.170818
1260 0.170832
1265 0.170843
1270 0.171423
1275 0.172306
1280 0.173106
1285 0.174238
1290 0.175095
1295 0.175671
1300 0.175911
1305 0.176528
1310 0.177041
1315 0.177642
1320 0.177306
1325 0.177099
1330 0.176788
1335 0.175113
1340 0.175183
1345 0.175563
1350 0.17629
1355 0.177552
1360 0.178101
1365 0.179119
1370 0.179851
1375 0.180754
1380 0.179882
1385 0.179054
1390 0.178845
1395 0.178533
1400 0.178516
1405 0.177382
1410 0.177034
1415 0.177942
1420 0.177883
1425 0.17791
1430 0.179085
1435 0.180978
1440 0.182282
1445 0.183373
1450 0.183963
1455 0.1856
1460 0.186611
1465 0.18817
1470 0.189507
1475 0.190977
1480 0.192704
1485 0.193433
1490 0.194957
1495 0.197467
1500 0.200171
1505 0.203806
1510 0.206456
1515 0.208632
1520 0.210486
1525 0.211928
1530 0.212466
1535 0.214417
1540 0.216173
1545 0.217691
1550 0.219361
1555 0.220385
1560 0.22162
1565 0.222506
1570 0.224223
1575 0.22593
1580 0.226725
1585 0.227113
1590 0.228021
1595 0.229285
1600 0.228781
1605 0.229062
1610 0.227785
1615 0.225907
1620 0.224509
1625 0.2238
1630 0.223051
1635 0.221643
1640 0.219486
1645 0.217404
1650 0.21647
1655 0.215601
1660 0.213341
1665 0.211322
1670 0.209766
1675 0.20806
1680 0.20521
1685 0.201666
1690 0.199605
1695 0.197141
1700 0.194554
1705 0.191892
1710 0.189337
1715 0.187425
1720 0.185499
1725 0.183503
1730 0.180657
1735 0.178862
1740 0.1767
1745 0.174875
1750 0.172621
1755 0.170185
1760 0.167095
1765 0.165306
1770 0.163213
1775 0.161252
1780 0.159895
1785 0.159321
1790 0.157612
1795 0.156029
1800 0.155405
1805 0.154915
1810 0.154587
1815 0.153643
1820 0.152775
1825 0.15307
1830 0.152944
1835 0.152784
1840 0.153616
1845 0.154315
1850 0.154069
1855 0.153789
1860 0.15486
1865 0.155257
1870 0.155472
1875 0.156608
1880 0.157798
1885 0.157936
1890 0.159483
1895 0.160934
1900 0.162204
1905 0.163178
1910 0.163897
1915 0.164897
1920 0.166235
1925 0.16798
1930 0.169555
1935 0.170483
1940 0.17105
1945 0.172368
1950 0.173454
1955 0.175432
1960 0.177014
1965 0.177509
1970 0.177345
1975 0.177675
1980 0.177188
1985 0.176211
1990 0.177137
1995 0.178458
2000 0.178972
2005 0.18008
2010 0.181941
2015 0.184182
2020 0.185105
2025 0.187385
2030 0.190738
2035 0.194724
2040 0.198965
2045 0.203065
2050 0.20616
2055 0.209711
2060 0.213492
2065 0.216883
2070 0.219116
2075 0.221025
2080 0.223518
2085 0.226419
2090 0.229646
2095 0.232677
2100 0.234629
2105 0.235985
2110 0.236472
2115 0.236825
2120 0.236871
2125 0.237458
2130 0.238321
2135 0.239714
2140 0.240783
2145 0.240174
2150 0.241379
2155 0.242497
2160 0.24268
2165 0.242479
2170 0.243668
2175 0.244789
2180 0.245613
2185 0.245422
2190 0.246311
2195 0.247633
2200 0.247596
2205 0.247319
2210 0.247038
2215 0.244836
2220 0.242623
2225 0.240088
2230 0.23818
2235 0.235516
2240 0.232152
2245 0.229248
2250 0.226555
2255 0.223652
2260 0.220512
2265 0.217139
2270 0.212455
2275 0.207474
2280 0.201585
2285 0.196501
2290 0.190847
2295 0.186284
2300 0.180344
2305 0.174344
2310 0.168041
2315 0.161804
2320 0.156768
2325 0.151875
2330 0.14805
2335 0.144678
2340 0.141936
2345 0.139025
2350 0.137298
2355 0.135204
2360 0.133254
2365 0.131865
2370 0.129246
2375 0.127016
2380 0.126139
2385 0.124719
2390 0.122054
2395 0.119555
2400 0.118018
2405 0.115741
2410 0.112955
2415 0.110881
2420 0.109781
2425 0.108872
2430 0.107841
2435 0.106399
2440 0.105658
2445 0.105186
2450 0.10504
2455 0.104972
2460 0.10469
2465 0.104328
2470 0.104758
2475 0.104057
2480 0.103577
2485 0.104126
2490 0.1046
2495 0.105568
2500 0.105702
2505 0.106086
2510 0.10695
2515 0.10785
2520 0.109504
2525 0.111384
2530 0.11297
2535 0.115111
2540 0.117707
2545 0.120108
2550 0.122908
2555 0.125917
2560 0.129076
2565 0.132487
2570 0.136508
2575 0.141059
2580 0.147206
2585 0.153159
2590 0.157929
2595 0.162462
2600 0.166946
2605 0.170941
2610 0.174277
2615 0.178385
2620 0.182917
2625 0.187807
2630 0.191855
2635 0.195612
2640 0.199727
2645 0.203129
2650 0.207631
2655 0.211329
2660 0.215639
2665 0.219631
2670 0.223335
2675 0.228015
2680 0.232412
2685 0.236353
2690 0.241398
2695 0.247508
