# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_idcl c_clsize
0 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
1000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
2000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
3000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
4000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
5000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
6000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
7000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
8000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
9000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
10000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
11000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
12000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
13000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
14000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
15000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
16000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
17000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
18000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
19000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
20000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
21000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
22000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
23000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
24000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
25000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
26000 16
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 1
14 56 1
15 59 1
16 62 1
27000 15
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 2
14 59 1
15 62 1
28000 15
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 2
14 59 1
15 62 1
29000 15
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 2
14 59 1
15 62 1
30000 15
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 2
14 59 1
15 62 1
31000 15
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 1
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 53 2
14 59 1
15 62 1
32000 14
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 3
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 59 1
14 62 1
33000 14
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 3
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 59 1
14 62 1
34000 14
1 1 1
2 6 1
3 11 1
4 16 1
5 21 1
6 26 1
7 31 3
8 36 1
9 41 1
10 44 1
11 47 1
12 50 1
13 59 1
