# Time-averaged data for fix at3
# TimeStep c_ek
25 0.0306376
30 0.0648029
35 0.111332
40 0.179824
45 0.276111
50 0.410723
55 0.599287
60 0.813355
65 1.06523
70 1.33573
75 1.6371
80 1.93709
85 2.2897
90 2.70141
95 3.03561
100 3.4449
105 3.81656
110 4.24329
115 4.6451
120 5.02186
125 5.41231
130 5.77801
135 6.13139
140 6.50872
145 6.88136
150 7.2698
155 7.65209
160 8.0561
165 8.41677
170 8.7787
175 9.08758
180 9.28822
185 9.52425
190 9.78796
195 9.93483
200 10.1255
205 10.2012
210 10.2646
215 10.1743
220 10.1076
225 10.1027
230 10.02
235 9.94772
240 9.81143
245 9.60285
250 9.23536
255 8.90645
260 8.66529
265 8.38091
270 8.08509
275 7.72013
280 7.27189
285 6.94488
290 6.55836
295 6.15497
300 5.83373
305 5.48439
310 5.148
315 4.76229
320 4.44277
325 4.12484
330 3.90182
335 3.67462
340 3.44645
345 3.23031
350 3.01373
355 2.84873
360 2.73098
365 2.68269
370 2.62997
375 2.59729
380 2.56404
385 2.59182
390 2.64396
395 2.75675
400 2.92421
405 3.07798
410 3.30919
415 3.5343
420 3.73901
425 4.00642
430 4.3031
435 4.5753
440 4.91357
445 5.25378
450 5.62502
455 5.93713
460 6.2151
465 6.58201
470 7.01657
475 7.32731
480 7.60341
485 7.96053
490 8.28695
495 8.55957
500 8.82626
505 9.18344
510 9.48995
515 9.75143
520 10.0128
525 10.2882
530 10.5486
535 10.8338
540 11.0195
545 11.2369
550 11.4105
555 11.4855
560 11.4569
565 11.4535
570 11.3818
575 11.2627
580 11.1149
585 11.0449
590 10.9745
595 10.9133
600 10.8558
605 10.7212
610 10.602
615 10.4131
620 10.3345
625 10.2047
630 10.0367
635 9.97176
640 9.92415
645 9.78974
650 9.80385
655 9.85629
660 9.79627
665 9.86024
670 9.98006
675 10.0815
680 10.1615
685 10.1965
690 10.2987
695 10.3907
700 10.387
705 10.3491
710 10.4107
715 10.4543
720 10.506
725 10.5043
730 10.4906
