# Time-averaged data for fix at5
# TimeStep Number-of-rows
# Row c_tm
25 3
1 0.0147664
2 0.0706022
3 0.15432
30 3
1 0.118965
2 0.0644503
3 0.188971
35 3
1 0.066915
2 0.0131802
3 0.0971021
40 3
1 -0.120359
2 -0.034992
3 0.14176
45 3
1 -0.116566
2 0.0136738
3 0.290412
50 3
1 -0.314024
2 0.126728
3 0.253315
55 3
1 -0.368303
2 0.111161
3 0.247223
60 3
1 -0.316716
2 0.205428
3 0.284212
65 3
1 -0.33016
2 0.446786
3 0.361779
70 3
1 -0.329761
2 0.477542
3 0.348086
75 3
1 -0.505594
2 0.350036
3 0.541864
80 3
1 -0.560652
2 0.335736
3 0.629848
85 3
1 -0.549725
2 0.315857
3 0.498664
90 3
1 -0.597702
2 0.421344
3 0.424002
95 3
1 -0.655482
2 0.51159
3 0.398003
100 3
1 -0.74735
2 0.542635
3 0.376703
105 3
1 -0.779858
2 0.639681
3 0.356879
110 3
1 -0.963882
2 0.470366
3 0.272702
115 3
1 -0.954107
2 0.356492
3 0.290686
120 3
1 -0.870421
2 0.309648
3 0.28842
125 3
1 -1.087
2 0.329062
3 0.272147
130 3
1 -1.09196
2 0.348899
3 0.463943
135 3
1 -1.04381
2 0.256372
3 0.519481
140 3
1 -1.02856
2 0.127098
3 0.625069
145 3
1 -1.19368
2 0.00665343
3 0.730571
150 3
1 -1.24697
2 0.00668092
3 0.699567
155 3
1 -1.55238
2 0.15955
3 0.715356
160 3
1 -1.76652
2 0.137079
3 0.689545
165 3
1 -1.80804
2 0.0506662
3 0.739902
170 3
1 -1.89975
2 0.0565873
3 0.604936
175 3
1 -2.08844
2 0.102055
3 0.497438
180 3
1 -2.26738
2 0.168686
3 0.533578
185 3
1 -2.18808
2 0.202572
3 0.495087
190 3
1 -2.19492
2 0.136183
3 0.644969
195 3
1 -2.30446
2 -0.00885631
3 0.703228
200 3
1 -2.18146
2 0.0349109
3 0.683987
205 3
1 -2.36123
2 0.0525565
3 0.609496
210 3
1 -2.35238
2 0.0254328
3 0.467545
215 3
1 -2.0209
2 0.0835225
3 0.513932
220 3
1 -1.81685
2 0.0640515
3 0.446558
225 3
1 -1.84817
2 0.0715215
3 0.309934
230 3
1 -1.71783
2 0.0126457
3 0.249182
235 3
1 -1.78379
2 0.0209202
3 0.152609
240 3
1 -1.67194
2 -0.0286611
3 0.239905
245 3
1 -1.57831
2 -0.0577115
3 0.104103
250 3
1 -1.4514
2 -0.0974454
3 0.176301
255 3
1 -1.38309
2 -0.094327
3 0.192454
260 3
1 -1.41372
2 -0.0791751
3 0.129678
265 3
1 -1.52994
2 -0.138653
3 0.193656
270 3
1 -1.45459
2 -0.0851369
3 0.347608
275 3
1 -1.19502
2 -0.0943594
3 0.253532
280 3
1 -1.14142
2 0.0794824
3 0.235351
285 3
1 -1.21519
2 -0.117535
3 0.326845
290 3
1 -1.17077
2 -0.0650144
3 0.356976
295 3
1 -1.2196
2 -0.0942909
3 0.348227
300 3
1 -1.41349
2 -0.181201
3 0.367922
305 3
1 -1.32319
2 -0.038778
3 0.203309
310 3
1 -1.41808
2 0.0941439
3 0.149648
315 3
1 -1.4381
2 -0.00534574
3 0.00562158
320 3
1 -1.4341
2 -0.055826
3 -0.0609499
325 3
1 -1.30571
2 -0.222031
3 -0.12296
330 3
1 -1.32881
2 -0.207218
3 -0.0587954
335 3
1 -1.33205
2 -0.211676
3 0.0066593
340 3
1 -1.32489
2 -0.16619
3 -0.091911
345 3
1 -1.33495
2 -0.206559
3 -0.299442
350 3
1 -1.47726
2 -0.426834
3 -0.545586
355 3
1 -1.50572
2 -0.308433
3 -0.712262
360 3
1 -1.36431
2 -0.22417
3 -0.700364
365 3
1 -1.23428
2 -0.273246
3 -0.727539
370 3
1 -1.12137
2 -0.321264
3 -0.737387
375 3
1 -1.18582
2 -0.0665275
3 -0.851109
380 3
1 -1.44692
2 -0.0707549
3 -0.947987
385 3
1 -1.46324
2 -0.306104
3 -0.851806
390 3
1 -1.59732
2 -0.414901
3 -0.830774
395 3
1 -1.57605
2 -0.652627
3 -0.719699
400 3
1 -1.52327
2 -0.835486
3 -0.721663
405 3
1 -1.46079
2 -0.661411
3 -0.641554
410 3
1 -1.35464
2 -0.880782
3 -0.605569
415 3
1 -1.33299
2 -0.869339
3 -0.557348
420 3
1 -1.20831
2 -0.820404
3 -0.469371
425 3
1 -1.15792
2 -0.770487
3 -0.427497
430 3
1 -1.0959
2 -0.798809
3 -0.374855
435 3
1 -1.018
2 -0.672749
3 -0.466577
440 3
1 -1.14211
2 -0.614171
3 -0.304497
445 3
1 -1.04859
2 -0.532293
3 -0.199333
450 3
1 -0.990765
2 -0.568426
3 -0.28128
455 3
1 -1.05535
2 -0.423606
3 -0.257611
460 3
1 -0.939347
2 -0.498287
3 -0.21653
465 3
1 -0.867508
2 -0.46195
3 -0.148667
470 3
