# Time-averaged data for fix at1
# TimeStep c_t
25 0.000208419
30 0.000440836
35 0.00075736
40 0.00122329
45 0.00187831
50 0.00279403
55 0.00407679
60 0.00553302
65 0.00724647
70 0.00908663
75 0.0111367
80 0.0131775
85 0.0155762
90 0.0183769
95 0.0206504
100 0.0234347
105 0.025963
110 0.0288659
115 0.0315993
120 0.0341623
125 0.0368185
130 0.0393062
135 0.0417101
140 0.044277
145 0.046812
150 0.0494544
155 0.052055
160 0.0548034
165 0.0572569
170 0.0597191
175 0.0618203
180 0.0631852
185 0.0647908
190 0.0665848
195 0.0675839
200 0.0688808
205 0.0693963
210 0.0698271
215 0.0692126
220 0.0687589
225 0.0687261
230 0.0681635
235 0.0676716
240 0.0667444
245 0.0653255
250 0.0628256
255 0.0605881
260 0.0589475
265 0.057013
270 0.0550006
275 0.0525179
280 0.0494686
285 0.0472441
290 0.0446147
295 0.0418706
300 0.0396853
305 0.0373088
310 0.0350204
315 0.0323965
320 0.0302229
325 0.0280601
330 0.026543
335 0.0249974
340 0.0234453
345 0.0219749
350 0.0205016
355 0.0193791
360 0.0185781
365 0.0182496
370 0.017891
375 0.0176686
380 0.0174425
385 0.0176314
390 0.0179861
395 0.0187534
400 0.0198926
405 0.0209387
410 0.0225115
415 0.0240428
420 0.0254355
425 0.0272545
430 0.0292728
435 0.0311245
440 0.0334257
445 0.03574
450 0.0382655
455 0.0403886
460 0.0422796
465 0.0447756
470 0.0477318
475 0.0498456
480 0.0517239
485 0.0541532
490 0.0563738
495 0.0582284
500 0.0600426
505 0.0624724
510 0.0645575
515 0.0663363
520 0.068114
525 0.069988
530 0.0717589
535 0.073699
540 0.0749623
545 0.0764415
550 0.0776221
555 0.0781326
560 0.0779382
565 0.0779149
570 0.077427
575 0.0766168
580 0.0756119
585 0.0751357
590 0.0746564
595 0.0742404
600 0.0738487
605 0.0729331
610 0.0721226
615 0.0708375
620 0.0703025
625 0.0694195
630 0.0682769
635 0.0678351
640 0.0675112
645 0.0665969
650 0.0666929
655 0.0670496
660 0.0666413
665 0.0670765
670 0.0678916
675 0.0685816
680 0.069126
685 0.069364
690 0.070059
695 0.0706847
700 0.0706602
705 0.0704019
710 0.0708208
715 0.0711178
720 0.0714696
725 0.0714581
730 0.0713643
735 0.071159
740 0.0712634
745 0.071243
750 0.0707149
755 0.0706395
760 0.0700557
765 0.0694283
770 0.0689424
775 0.0681311
780 0.0674775
785 0.0664422
790 0.0656219
795 0.0646134
800 0.063017
805 0.0611915
810 0.0599777
815 0.0583885
820 0.056875
825 0.0556745
830 0.0542035
835 0.0528105
840 0.051566
845 0.0505615
850 0.0490953
855 0.0475464
860 0.0459106
865 0.0448198
870 0.0437976
875 0.0429883
880 0.0421017
885 0.0411965
890 0.0404324
895 0.0397813
900 0.0395579
905 0.0391755
910 0.0389679
915 0.0385726
920 0.0379203
925 0.0378011
930 0.0377343
935 0.037813
940 0.0381148
945 0.0384337
950 0.0391358
955 0.0394459
960 0.0400878
965 0.0411179
970 0.0418595
975 0.0425477
980 0.0436628
985 0.0452162
990 0.0466418
995 0.0473471
1000 0.0480558
1005 0.0491763
1010 0.0506112
1015 0.0524655
1020 0.0544424
1025 0.0562206
1030 0.0578909
1035 0.0596441
1040 0.0614337
1045 0.0634117
1050 0.0651474
1055 0.0668253
1060 0.0679765
1065 0.0688539
1070 0.0690103
1075 0.0701496
1080 0.0718314
1085 0.0723014
1090 0.0733727
1095 0.0742292
1100 0.0742427
1105 0.0743962
1110 0.0750294
1115 0.0756372
1120 0.0765492
1125 0.076781
1130 0.0771671
1135 0.0776989
1140 0.0780636
1145 0.0782461
1150 0.0783444
1155 0.0785566
1160 0.0785191
1165 0.0785031
1170 0.078748
1175 0.0796518
1180 0.0800539
1185 0.0799273
1190 0.0796975
1195 0.0793494
1200 0.078326
1205 0.0777382
1210 0.077392
1215 0.0770412
1220 0.0774982
1225 0.0772527
1230 0.0769507
1235 0.0766769
1240 0.0768923
1245 0.0764526
1250 0.0764906
1255 0.0764188
1260 0.0764058
1265 0.0760672
1270 0.0754744
1275 0.0745826
1280 0.0743025
1285 0.0738991
1290 0.0738758
1295 0.0741239
1300 0.0727104
1305 0.0721671
1310 0.071483
1315 0.0714514
1320 0.0706192
1325 0.0701339
1330 0.0695085
1335 0.0687333
1340 0.0676819
1345 0.067075
1350 0.0669719
1355 0.0666261
1360 0.0659614
1365 0.0644209
1370 0.0627293
1375 0.0615437
1380 0.0601371
1385 0.0589955
1390 0.0581944
1395 0.0574739
1400 0.0574447
1405 0.0574751
1410 0.0572887
1415 0.0574571
1420 0.0578463
1425 0.0573807
1430 0.0571934
1435 0.0574591
1440 0.0573775
1445 0.0580106
1450 0.0588824
1455 0.0595093
1460 0.0601511
1465 0.0610393
1470 0.062266
1475 0.063115
1480 0.0641479
1485 0.0650985
1490 0.0659531
1495 0.0673519
1500 0.0681539
1505 0.0690158
1510 0.0702082
1515 0.0711346
1520 0.0721609
1525 0.0729783
1530 0.0732568
1535 0.0734233
1540 0.073902
1545 0.0746841
1550 0.075674
1555 0.0762278
1560 0.077121
1565 0.0778454
1570 0.0780967
1575 0.079078
1580 0.0799293
1585 0.0805583
1590 0.0810419
1595 0.0823081
1600 0.0829779
1605 0.0827209
1610 0.0828055
1615 0.0830978
1620 0.0829324
1625 0.083235
1630 0.0828638
1635 0.0827393
1640 0.0832467
1645 0.0840986
1650 0.0840344
1655 0.0844665
1660 0.0849696
1665 0.0855836
1670 0.0857778
1675 0.085393
1680 0.0863498
1685 0.0871696
1690 0.0876492
1695 0.0884807
1700 0.0891767
1705 0.0889741
1710 0.0894339
1715 0.0892059
1720 0.089577
1725 0.0899044
1730 0.089314
1735 0.0898296
1740 0.0890961
1745 0.0880787
1750 0.0870942
1755 0.0863016
1760 0.0857397
1765 0.0852806
1770 0.084374
1775 0.0834136
1780 0.0820075
1785 0.08119
1790 0.0803329
1795 0.0793602
1800 0.0784948
1805 0.0769276
1810 0.0765378
1815 0.07516
1820 0.0741978
1825 0.073442
1830 0.0725773
1835 0.0714252
1840 0.0707073
1845 0.0699492
1850 0.0686058
1855 0.0680575
1860 0.0673596
1865 0.0664924
1870 0.0659561
1875 0.0651171
1880 0.0637443
1885 0.0630267
1890 0.0623543
1895 0.0614753
1900 0.0613083
1905 0.0609129
1910 0.0607117
1915 0.0607846
1920 0.061211
1925 0.0615774
1930 0.0613376
1935 0.0618949
1940 0.0624451
1945 0.0636359
1950 0.0644315
1955 0.0651617
1960 0.065779
1965 0.0669282
1970 0.0679452
1975 0.0692167
1980 0.0700667
1985 0.0715937
1990 0.0725202
1995 0.0735024
2000 0.0748626
2005 0.0765035
2010 0.0778292
2015 0.0794878
2020 0.0815525
2025 0.083281
2030 0.0851377
2035 0.085542
2040 0.0860539
2045 0.0866972
2050 0.0884507
2055 0.0903376
2060 0.0912845
2065 0.0922233
2070 0.093824
2075 0.0952545
2080 0.0961398
2085 0.0968184
2090 0.0970163
2095 0.0975872
2100 0.0973649
2105 0.0969126
2110 0.0969179
2115 0.0976453
2120 0.0979759
2125 0.0982059
2130 0.0982209
2135 0.098374
2140 0.0988844
2145 0.0995911
2150 0.0997541
2155 0.100482
2160 0.100457
2165 0.10063
2170 0.101035
2175 0.101042
2180 0.100852
2185 0.100145
2190 0.100029
2195 0.099814
2200 0.09903
2205 0.0983438
2210 0.0975627
2215 0.0974722
2220 0.0975388
2225 0.0971094
2230 0.0964854
2235 0.0961343
2240 0.0959743
2245 0.0955203
2250 0.095595
2255 0.0958257
2260 0.0954654
2265 0.0950805
2270 0.0945495
2275 0.0946545
2280 0.0944199
2285 0.093953
2290 0.093124
2295 0.092452
2300 0.0922273
2305 0.09161
2310 0.0908467
2315 0.0904126
2320 0.0901173
2325 0.0894554
2330 0.0880284
2335 0.0870169
2340 0.0866426
2345 0.0854217
2350 0.0844102
2355 0.083216
2360 0.0831825
2365 0.0824324
2370 0.0816373
2375 0.0813293
2380 0.080676
2385 0.0801629
2390 0.0791946
2395 0.0790574
2400 0.0787486
2405 0.0787125
2410 0.0788633
2415 0.079172
2420 0.0796398
2425 0.079996
2430 0.0808077
2435 0.0814807
2440 0.0821074
2445 0.08222
2450 0.0822942
2455 0.0832029
2460 0.0850374
2465 0.0860699
2470 0.0873531
2475 0.0885721
2480 0.0888575
2485 0.0899221
2490 0.0911959
2495 0.0932513
2500 0.0954355
2505 0.0969616
2510 0.0981794
2515 0.0987816
2520 0.100171
2525 0.101605
2530 0.10226
2535 0.102773
2540 0.103624
2545 0.103711
2550 0.104387
2555 0.105648
2560 0.107223
2565 0.10911
2570 0.110082
2575 0.111149
2580 0.111816
2585 0.112778
2590 0.114368
2595 0.114684
2600 0.115792
2605 0.116793
2610 0.117637
2615 0.118172
2620 0.117891
2625 0.117871
2630 0.117907
2635 0.118994
2640 0.119688
2645 0.120412
2650 0.119828
2655 0.120363
2660 0.121162
2665 0.121203
2670 0.12128
2675 0.120811
2680 0.120506
2685 0.120384
2690 0.120521
2695 0.119875
2700 0.119768
2705 0.119394
2710 0.118836
2715 0.118308
2720 0.118262
2725 0.117173
2730 0.116643
2735 0.115946
2740 0.115117
2745 0.114264
2750 0.112837
2755 0.111157
2760 0.109244
2765 0.107835
2770 0.105918
2775 0.104353
2780 0.102331
2785 0.100725
2790 0.0998922
2795 0.0991823
2800 0.0984835
2805 0.0983384
2810 0.0983706
2815 0.0984071
2820 0.0986657
2825 0.0986265
2830 0.098613
2835 0.0981983
2840 0.0980666
2845 0.0977552
2850 0.0972315
2855 0.0969203
2860 0.0966708
2865 0.0969298
2870 0.0967679
2875 0.0958915
2880 0.0955998
2885 0.0951664
2890 0.0949042
2895 0.0956966
2900 0.0957473
2905 0.0953477
2910 0.0948653
2915 0.0955612
2920 0.0970263
2925 0.0980663
2930 0.0987169
2935 0.0987502
2940 0.100056
2945 0.100748
2950 0.102139
2955 0.103672
2960 0.104829
2965 0.105839
2970 0.107557
2975 0.108954
2980 0.109826
2985 0.110785
2990 0.111794
2995 0.113313
3000 0.114352
3005 0.115257
3010 0.115894
3015 0.117003
3020 0.117519
3025 0.118754
3030 0.119562
3035 0.119974
3040 0.119937
3045 0.119836
3050 0.120652
3055 0.121531
3060 0.122839
3065 0.124848
3070 0.126159
3075 0.127037
3080 0.128037
3085 0.129157
3090 0.130461
3095 0.131064
3100 0.130833
3105 0.13161
3110 0.132204
3115 0.132115
3120 0.131768
3125 0.132896
3130 0.13245
3135 0.13231
3140 0.132606
3145 0.132436
3150 0.132042
3155 0.131129
3160 0.131127
3165 0.131326
3170 0.131473
3175 0.131084
3180 0.130164
3185 0.129151
3190 0.127569
3195 0.125754
3200 0.124797
3205 0.123749
3210 0.123124
3215 0.122896
3220 0.122718
